"Id","TimestampUtc","Value","MeteringLineId","CreatedAt","LastUpdatedAt","Origin"
fb780e5c-37d0-499a-b66c-89bd3000f7de,2023-10-12 17:45:00.000 +0200,1.2560,"73d5a2af-76bf-478a-8e99-d6f5615b3d83",2023-10-14 04:21:01.282 +0200,2023-10-14 04:21:01.282 +0200,Getec
"3f1b895f-4902-4e5d-b629-90622eb6e6a1",2023-10-12 12:15:00.000 +0200,0.0280,"73d5a2af-76bf-478a-8e99-d6f5615b3d83",2023-10-14 04:21:01.249 +0200,2023-10-14 04:21:01.249 +0200,Getec
"102da1e6-84d9-403e-b5e3-d8d453a077ab",2023-10-12 19:15:00.000 +0200,1.20,"73d5a2af-76bf-478a-8e99-d6f5615b3d83",2023-10-14 04:21:01.291 +0200,2023-10-14 04:21:01.291 +0200,Getec
"00bef739-60e3-48ba-91b1-1f9caa23f086",2023-10-12 10:00:00.000 +0200,0.2480,"73d5a2af-76bf-478a-8e99-d6f5615b3d83",2023-10-14 04:21:01.234 +0200,2023-10-14 04:21:01.234 +0200,Getec
"260ef5c0-ef6d-4f90-9ed3-ffb4faffb4f6",2023-10-12 09:45:00.000 +0200,0.2440,"73d5a2af-76bf-478a-8e99-d6f5615b3d83",2023-10-14 04:21:01.232 +0200,2023-10-14 04:21:01.232 +0200,Getec
"3b184a23-2f86-4120-a7b8-dfbd21218fe1",2023-10-12 17:15:00.000 +0200,1.1280,"73d5a2af-76bf-478a-8e99-d6f5615b3d83",2023-10-14 04:21:01.280 +0200,2023-10-14 04:21:01.280 +0200,Getec
d4369473-166a-4b90-8fa7-da6611e02cf6,2023-10-12 08:00:00.000 +0200,0.88,"73d5a2af-76bf-478a-8e99-d6f5615b3d83",2023-10-14 04:21:01.221 +0200,2023-10-14 04:21:01.221 +0200,Getec
"5ef792b4-7782-469c-a8b6-949694e81ec0",2023-10-12 16:15:00.000 +0200,0.1240,"73d5a2af-76bf-478a-8e99-d6f5615b3d83",2023-10-14 04:21:01.274 +0200,2023-10-14 04:21:01.274 +0200,Getec
ad521621-a73a-4546-b558-b12e4f22295c,2023-10-12 13:45:00.000 +0200,0.1280,"73d5a2af-76bf-478a-8e99-d6f5615b3d83",2023-10-14 04:21:01.259 +0200,2023-10-14 04:21:01.259 +0200,Getec
ddd944dd-70ae-482f-b032-ba72ff3f4280,2023-10-12 13:30:00.000 +0200,0.2320,"73d5a2af-76bf-478a-8e99-d6f5615b3d83",2023-10-14 04:21:01.257 +0200,2023-10-14 04:21:01.257 +0200,Getec
"97eb7a54-14bb-461a-93a1-4293868eb623",2023-10-12 03:15:00.000 +0200,0.4280,"73d5a2af-76bf-478a-8e99-d6f5615b3d83",2023-10-14 04:21:01.194 +0200,2023-10-14 04:21:01.194 +0200,Getec
a7e3c848-2532-4c34-97db-70ba5fecfc35,2023-10-12 18:30:00.000 +0200,1.3240,"73d5a2af-76bf-478a-8e99-d6f5615b3d83",2023-10-14 04:21:01.287 +0200,2023-10-14 04:21:01.287 +0200,Getec
"5f429bd5-937c-4112-8b63-e9c03d1ba1b0",2023-10-12 01:15:00.000 +0200,0.5880,"73d5a2af-76bf-478a-8e99-d6f5615b3d83",2023-10-14 04:21:01.182 +0200,2023-10-14 04:21:01.182 +0200,Getec
b9aba804-975f-4d83-a63c-9fd3c11054e2,2023-10-12 04:45:00.000 +0200,0.38,"73d5a2af-76bf-478a-8e99-d6f5615b3d83",2023-10-14 04:21:01.202 +0200,2023-10-14 04:21:01.202 +0200,Getec
"2d492d2f-724b-48e7-b27c-95a745167f35",2023-10-12 02:45:00.000 +0200,0.4160,"73d5a2af-76bf-478a-8e99-d6f5615b3d83",2023-10-14 04:21:01.191 +0200,2023-10-14 04:21:01.191 +0200,Getec
f347598e-a608-46d1-a7e0-56a52aee76aa,2023-10-12 06:30:00.000 +0200,0.4160,"73d5a2af-76bf-478a-8e99-d6f5615b3d83",2023-10-14 04:21:01.212 +0200,2023-10-14 04:21:01.212 +0200,Getec
"315e215d-40c8-423a-bba2-33e334075560",2023-10-12 07:00:00.000 +0200,0.7880,"73d5a2af-76bf-478a-8e99-d6f5615b3d83",2023-10-14 04:21:01.215 +0200,2023-10-14 04:21:01.215 +0200,Getec
e72e3ca7-dd79-4132-835a-36d2b8161c5f,2023-10-12 22:00:00.000 +0200,1.0440,"73d5a2af-76bf-478a-8e99-d6f5615b3d83",2023-10-14 04:21:01.306 +0200,2023-10-14 04:21:01.306 +0200,Getec
"6e95852f-1ea0-4f10-83f0-eb3c54efce88",2023-10-12 16:30:00.000 +0200,0.98,"73d5a2af-76bf-478a-8e99-d6f5615b3d83",2023-10-14 04:21:01.275 +0200,2023-10-14 04:21:01.275 +0200,Getec
"6fcc333c-44be-4b1b-804a-d55fa33c5c4f",2023-10-12 18:00:00.000 +0200,1.6320,"73d5a2af-76bf-478a-8e99-d6f5615b3d83",2023-10-14 04:21:01.284 +0200,2023-10-14 04:21:01.284 +0200,Getec
